message,order_type,scrip,price,sl,order_found
 151👉👉👉👉154🚀🚀🚀🚀 JUST SAID ON RADAR 🤣 IF ANYONE BOUGHT THAN NO CHANCE OF LOSS NOW IF SUSTIAN ABOVE 153 THAN MORE UPSIDE OTHERWISE AGAIN DOWNFALL BUT YOU WILL BE IN PROFIT ONLY IF BOUGHT AT 151-152 OR 153 AS NOW IT IS 154,,,0.0,0.0,False
 KOLTE PATIL ON RADAR,,,0.0,0.0,False
 STAR BTST BUY 500👉👉👉👉550🚀🚀🚀🚀 IF BOUGHT ONLY 1000 SHARES THAN ALSO 50000 RS PROFIT EASILY POSSIBLE IS 50000 RS PROFIT IN ONE DAY IS LESS ?? REMEMBER - ONLY POSSIBLE WITH YOUR FRIEND RAJ DATTANI,,,0.0,0.0,False
 TODAY AGAIN OUR ALL BTST BUY STOCKS ROCKED SPECIAL BTST BUY PNB GILTS ALSO ROCKED IF BOUGHT 5000 SHARES AT ANY RATE THAN ALSO 44.5👉👉👉👉49🚀🚀🚀🚀 20000 RS PROFIT EASILY POSSIBLE WHAT ELSE ANYONE WANT ?? 20000 IN 1 DAY IS LESS ?? REMEMBER - ONLY POSSIBLE WITH YOUR FRIEND RAJ DATTANI,,,0.0,0.0,False
 SHORT TERM PICK - BBTC BUY BBTC @1365 SL 1330 ONLY ON CLOSING BASIS TARGET 1400-1440+, SHORT TERM PICK - BBTC ,"('BBTC', 'BOMBAY BURMAH TRADING COR')",1365,1330 ,True
 SHORT TERM PICK - BRITANNIA FOR FUTURE PLAYERS BUY BRITANNIA @3880-3890 SL 3830 TARGET HOLD, SHORT TERM PICK - BRITANNIA FOR FUTURE PLAYERS ,"('BRITANNIA', 'BRITANNIA INDUSTRIES LIMITED')",3880,3830 ,True
 450🚀🚀🚀🚀🚀🚀🚀🚀 BOOK OR TRAIL SL YOUR CHOICE NOW NO CHANCE OF LOSS IN IT,,,0.0,0.0,False
 LOW RISK HIGH REWARD INTRADAY BUY SUNDARAM FASTNERS @441-442 SL 435 ONLY TARGET HOLD, LOW RISK HIGH REWARD INTRADAY ,"('SUNDRMFAST', 'SUNDRAM FASTENERS LIMITED')",441,435 ,True
 INTRADAY BUY GUJARAT ALKALI @347 SL 340 TARGET 360+, INTRADAY ,"('GUJALKALI', 'GUJARAT ALKALIES & CHEM')",347,340 ,True
 OUR CHAMPION 12👉👉👉👉48🚀🚀🚀🚀 TOMORROW IT CAN BE 50+,,,0.0,0.0,False
 STAR 450👉👉👉👉540🚀🚀🚀🚀🚀 SHORT TERM AND BTST BUY TRADES BOOK OR TRAIL SL IS YOUR CHOICE NOW DON'T ASK FOR STAR,,,0.0,0.0,False
 PNB GILTS OUR MUST MUST BTST BUY 44.5👉👉👉👉48.5🚀🚀🚀🚀 OPENING 10% UP FROM OUR COST BOOK OR TRAIL SL IS YOUR CHOICE BUT NOW NO CHANCE OF LOSS IN IT STILL IF YOU LOSE IN IT THAN DON'T TRADE IN MY CALLS,,,0.0,0.0,False
 👆 NOW MY FOCUS IS ON PNB GILTS SINCE IT AS 35 SUGGESTED AS SHORT TERM DELIVERY PICK JUST ON 15TH JUNE LET'S SEE HOW IT PERFORMS TILL NOW 35👉👉👉👉45+🚀🚀🚀🚀 REMEMBER - ONLY POSSIBLE WITH YOUR FRIEND RAJ DATTANI,,,0.0,0.0,False
 👆 SEE WHEN MASTEK WAS ON MY RADAR @235 WHEN NO ONE WANT TO BUY IT WE BOUGHT AND NOW SEE ALL ARE RUNNING BEHIND IT SAME WAY SONATA SOFTWARE ALSO GIVEN MANY TIMES @190-200-220-240-260 NOW ALL ARE RUNNING BEHIND SONATA SOFTWARE WHEN WE BOUGHT NO ONE WANT TO BUY IT WE WERE FIRST TO BUY IT SAME WAY CAPLIN POINT SUGGESTED NEAR 300-330-350-400 MANY TIMES WHEN NO ONE WANT TO BUY INFACT SUGGESTED 2 DAYS AGO ALSO @450 TODAY 580 AND ALL ARE RUNNING TO BUY IT🤣🤣 STILL THERE ARE MANY MUCH MORE LIKE MARKSANS ; MOREPEN ; NECTAR ; KOPRAN ; AARTI DRUGS AND STILL MORE AND MORE WHERE WERE THIS PEOPLE EARLIER ?? HOPE YOU ALL ENJOYED THIS ALL STOCKS RALLY REMEMBER - ONLY POSSIBLE WITH YOUR FRIEND RAJ DATTANI,,,0.0,0.0,False
